Wohnen;Gewerbe;Schule;;;;;;;;
0,000164884;0,000249178;0,000266043;;;;;;;;
0,000181077;0,000190306;0,000203186;;;;;;;;
0,000178382;0,000135312;0,000144471;;;;;;;;
0,000162016;0,000115109;0,000122899;;;;;;;;
0,00015024;0,000100647;0,000107459;;;;;;;;
0,00016476;9,32E-05;9,95E-05;;;;;;;;
0,000144602;8,58E-05;9,16E-05;;;;;;;;
0,000121475;7,26E-05;7,75E-05;;;;;;;;
0,000103785;6,35E-05;6,78E-05;;;;;;;;
0,000095877;5,96E-05;6,36E-05;;;;;;;;
0,000088793;6,40E-05;6,84E-05;;;;;;;;
0,000086322;7,69E-05;8,22E-05;;;;;;;;
0,000092758;8,53E-05;9,10E-05;;;;;;;;
0,000106105;0,000107797;0,000115093;;;;;;;;
0,00013063;0,000161617;0,000172556;;;;;;;;
0,000135022;0,000255446;0,000272735;;;;;;;;
0,000137791;0,000285647;0,000304981;;;;;;;;
0,000141184;0,00029108;0,000310781;;;;;;;;
0,000145799;0,000295394;0,000315387;;;;;;;;
0,000148344;0,000261375;0,000279065;;;;;;;;
0,000143728;0,000220591;0,000235521;;;;;;;;
0,000147271;0,000217921;0,000232671;;;;;;;;
0,00014353;0,000242193;0,000258585;;;;;;;;
0,000139987;0,000250605;0,000267566;;;;;;;;
0,000165833;0,000249207;0,000266074;;;;;;;;
0,000182449;0,000190329;0,000203211;;;;;;;;
0,000178881;0,000135328;0,000144488;;;;;;;;
0,000163263;0,000115121;0,000122912;;;;;;;;
0,000150938;0,000100658;0,000107471;;;;;;;;
0,000165584;9,32E-05;9,96E-05;;;;;;;;
0,00014515;8,58E-05;9,16E-05;;;;;;;;
0,000121874;7,26E-05;7,75E-05;;;;;;;;
0,000106156;6,35E-05;6,78E-05;;;;;;;;
0,000097723;5,96E-05;6,36E-05;;;;;;;;
0,000089715;6,40E-05;6,84E-05;;;;;;;;
0,00008687;7,69E-05;8,22E-05;;;;;;;;
0,000093132;8,53E-05;9,10E-05;;;;;;;;
0,00010698;0,000107799;0,000115095;;;;;;;;
0,000130282;0,000161622;0,000172561;;;;;;;;
0,000135021;0,000255454;0,000272744;;;;;;;;
0,000137442;0,000285655;0,000304989;;;;;;;;
0,000140336;0,000291088;0,00031079;;;;;;;;
0,000146647;0,000295403;0,000315397;;;;;;;;
0,000146197;0,000261383;0,000279074;;;;;;;;
0,000143529;0,000220598;0,000235529;;;;;;;;
0,000147296;0,000217928;0,000232678;;;;;;;;
0,000145401;0,000242201;0,000258594;;;;;;;;
0,000141134;0,000250612;0,000267574;;;;;;;;
0,000165558;0,000249215;0,000266082;;;;;;;;
0,000181251;0,000190334;0,000203216;;;;;;;;
0,00017913;0,000135331;0,000144491;;;;;;;;
0,000162939;0,000115125;0,000122917;;;;;;;;
0,000150788;0,000100661;0,000107474;;;;;;;;
0,000166157;9,32E-05;9,96E-05;;;;;;;;
0,000145625;8,58E-05;9,16E-05;;;;;;;;
0,000122098;7,26E-05;7,75E-05;;;;;;;;
0,000105632;6,35E-05;6,78E-05;;;;;;;;
0,000097848;5,96E-05;6,36E-05;;;;;;;;
0,000090115;6,40E-05;6,84E-05;;;;;;;;
0,000086895;7,69E-05;8,21E-05;;;;;;;;
0,000092883;8,53E-05;9,10E-05;;;;;;;;
0,000105407;0,000107794;0,000115089;;;;;;;;
0,000130281;0,000161612;0,00017255;;;;;;;;
0,000136569;0,000255441;0,00027273;;;;;;;;
0,000139637;0,000285639;0,000304972;;;;;;;;
0,000143205;0,000291072;0,000310773;;;;;;;;
0,000149616;0,000295386;0,000315379;;;;;;;;
0,00015064;0,000261368;0,000279058;;;;;;;;
0,000146548;0,000220585;0,000235515;;;;;;;;
0,000150864;0,000217916;0,000232665;;;;;;;;
0,000148469;0,000242186;0,000258578;;;;;;;;
0,000144751;0,000250598;0,000267559;;;;;;;;
0,000166157;0,000249201;0,000266067;;;;;;;;
0,000179105;0,000190323;0,000203204;;;;;;;;
0,000174714;0,000135324;0,000144483;;;;;;;;
0,00016007;0,000115117;0,000122908;;;;;;;;
0,00014994;0,000100655;0,000107467;;;;;;;;
0,000167853;9,32E-05;9,95E-05;;;;;;;;
0,000151961;8,72E-05;9,31E-05;;;;;;;;
0,000130955;9,42E-05;1,01E-04;;;;;;;;
0,000113815;8,78E-05;9,38E-05;;;;;;;;
0,000103561;7,95E-05;8,49E-05;;;;;;;;
0,000094431;7,98E-05;8,52E-05;;;;;;;;
0,00008727;8,31E-05;8,87E-05;;;;;;;;
0,000086097;8,96E-05;9,56E-05;;;;;;;;
0,000080484;0,00010663;0,000113847;;;;;;;;
0,000098696;0,000163762;0,000174846;;;;;;;;
0,000120102;0,000221856;0,000236872;;;;;;;;
0,000141258;0,000243549;0,000260033;;;;;;;;
0,000153833;0,000255682;0,000272987;;;;;;;;
0,000161192;0,000255806;0,000273119;;;;;;;;
0,000164485;0,00023911;0,000255294;;;;;;;;
0,000159596;0,000202461;0,000216165;;;;;;;;
0,000161691;0,000146912;0,000156856;;;;;;;;
0,000153932;0,000113086;0,00012074;;;;;;;;
0,000145824;0,000103868;0,000110898;;;;;;;;
0,000169999;0,00011684;0,000124748;;;;;;;;
0,000182872;0,000120005;0,000128128;;;;;;;;
0,000176111;0,000120253;0,000128393;;;;;;;;
0,000157026;0,000113799;0,000121501;;;;;;;;
0,000144926;0,000103341;0,000110335;;;;;;;;
0,00016768;9,29E-05;9,92E-05;;;;;;;;
0,000157052;8,25E-05;8,81E-05;;;;;;;;
0,000136143;7,20E-05;7,69E-05;;;;;;;;
0,00011606;6,36E-05;6,79E-05;;;;;;;;
0,000104434;5,55E-05;5,93E-05;;;;;;;;
0,000093184;5,23E-05;5,59E-05;;;;;;;;
0,00008455;5,22E-05;5,57E-05;;;;;;;;
0,000081906;5,62E-05;6,00E-05;;;;;;;;
0,00007255;6,29E-05;6,71E-05;;;;;;;;
0,00008243;6,30E-05;6,72E-05;;;;;;;;
0,000101341;6,16E-05;6,58E-05;;;;;;;;
0,000128185;7,23E-05;7,72E-05;;;;;;;;
0,000152037;8,45E-05;9,02E-05;;;;;;;;
0,0001693;9,20E-05;9,82E-05;;;;;;;;
0,000169849;9,78E-05;1,04E-04;;;;;;;;
0,000156327;9,87E-05;1,05E-04;;;;;;;;
0,000154107;8,97E-05;9,57E-05;;;;;;;;
0,000144227;8,00E-05;8,54E-05;;;;;;;;
0,000136468;7,97E-05;8,51E-05;;;;;;;;
0,000158672;0,000104621;0,000111702;;;;;;;;
0,00017439;0,000114796;0,000122565;;;;;;;;
0,000172494;0,000116659;0,000124554;;;;;;;;
0,0001573;0,00010732;0,000114583;;;;;;;;
0,000146622;9,43E-05;1,01E-04;;;;;;;;
0,000163263;8,46E-05;9,03E-05;;;;;;;;
0,000144277;7,68E-05;8,19E-05;;;;;;;;
0,000122273;7,26E-05;7,75E-05;;;;;;;;
0,000105108;6,35E-05;6,78E-05;;;;;;;;
0,000098522;5,96E-05;6,36E-05;;;;;;;;
0,000091686;6,40E-05;6,83E-05;;;;;;;;
0,000085798;7,69E-05;8,21E-05;;;;;;;;
0,000091636;8,52E-05;9,10E-05;;;;;;;;
0,000106006;0,000107721;0,000115011;;;;;;;;
0,000129034;0,000161504;0,000172435;;;;;;;;
0,0001335;0,000255266;0,000272543;;;;;;;;
0,000137018;0,000285445;0,000304765;;;;;;;;
0,000140011;0,000290875;0,000310563;;;;;;;;
0,000146522;0,000295185;0,000315164;;;;;;;;
0,000144576;0,000261191;0,000278869;;;;;;;;
0,000142406;0,000220435;0,000235355;;;;;;;;
0,000146423;0,000217767;0,000232506;;;;;;;;
0,000145824;0,000242022;0,000258403;;;;;;;;
0,000139087;0,000250429;0,000267379;;;;;;;;
0,000161991;0,000249033;0,000265888;;;;;;;;
0,00017933;0,000190194;0,000203066;;;;;;;;
0,000176337;0,000135232;0,000144385;;;;;;;;
0,000161292;0,000115041;0,000122827;;;;;;;;
0,000149567;0,000100587;0,000107395;;;;;;;;
0,00016456;9,32E-05;9,95E-05;;;;;;;;
0,000144103;8,58E-05;9,16E-05;;;;;;;;
0,00012145;7,26E-05;7,75E-05;;;;;;;;
0,00010436;6,35E-05;6,78E-05;;;;;;;;
0,000098372;5,95E-05;6,36E-05;;;;;;;;
0,000092335;6,40E-05;6,83E-05;;;;;;;;
0,000086123;7,69E-05;8,21E-05;;;;;;;;
0,000091786;8,52E-05;9,09E-05;;;;;;;;
0,00010431;0,000107678;0,000114966;;;;;;;;
0,000127337;0,00016144;0,000172367;;;;;;;;
0,000131205;0,000255167;0,000272437;;;;;;;;
0,000134822;0,000285333;0,000304646;;;;;;;;
