H,Betriebszeit_-,Pers/m2,Qi Sommer W/m²,Qi Winter W/m²,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_W_m2,Abwärme W/m²
6372,0.932043871,0.025890108,7.075144107,3.537572053,0.372817549,0.07,3.167492812,0.425493664,0.2,0,2.95513018,1.047297402
6373,0.932043871,0.025890108,6.933588684,3.466794342,0.372817549,0.07,3.167492812,0.425493664,0.2,0,2.879251653,1.232190647
6374,0.932043871,0.025890108,6.257168786,3.128584393,0.372817549,0.07,2.773199101,0.425493664,0.2,0,2.516667551,1.097399592
6375,0.932043871,0.025890108,5.777851374,2.888925687,0.372817549,0.07,1.984611679,0.425493664,0.2,0,2.259737095,1.024347366
6376,0.932043871,0.025890108,5.518034459,2.75901723,0.372817549,0.07,1.590317968,0.425493664,0.2,0,2.120466381,0.963901498
6377,0.932043871,0.025890108,6.145310044,3.072655022,0.372817549,0.07,1.984611679,0.425493664,0.2,0,2.315925625,0.95032542
6378,0.932043871,0.025890108,7.430191199,3.715095599,0.372817549,0.07,2.37890539,0.425493664,0.2,0,2.86388385,0.978447295
6379,0.932043871,0.025890108,9.976288888,4.988144444,0.372817549,0.07,2.37890539,0.425493664,0.2,0,3.383987932,0.9493557
6380,0.932043871,0.025890108,9.837421227,4.918710614,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.309550136,0.572457932
6381,0.932043871,0.025890108,8.615887805,4.307943903,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.077112116,0.589912888
6382,0.932043871,0.025890108,7.890192285,3.945096142,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.688114603,0.500698665
6383,0.932043871,0.025890108,5.569233229,2.784616615,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.007128834,0.499405705
6384,0.932043871,0.025890108,4.100688393,2.050344197,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.360720621,0.492294427
6385,0.932043871,0.025890108,3.476231878,1.738115939,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.025990662,0.495203586
6386,0.932043871,0.025890108,3.30063148,1.65031574,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.931862869,0.522678981
6387,0.932043871,0.025890108,3.258523221,1.629261611,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.909291408,0.557912134
6388,0.932043871,0.025890108,3.292568196,1.646284098,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.927540674,0.811332246
6389,0.932043871,0.025890108,3.599868892,1.799934446,0.474751742,0.07,1.590317968,0.425493664,0.2,0,1.092264312,1.440680407
6390,1,0.030420516,5.616953712,2.808476856,0.474751742,0.07,2.37890539,0.57570615,0.2,0,1.866417388,1.243504045
6391,1,0.030420516,8.197556256,4.098778128,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.573336325,1.030488925
6392,1,0.030420516,9.26319953,4.631599765,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.722211916,1.277444238
6393,1,0.030420516,7.895368468,3.947684234,0.474751742,0.07,3.286285853,0.57570615,0.2,0,2.957307864,1.095136913
6394,1,0.030420516,7.755604886,3.877802443,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.146780647,1.154936301
6395,1,0.030420516,7.798609065,3.899304533,0.474751742,0.07,1.82790405,0.57570615,0.2,0,3.169832352,1.197927213
6396,1,0.030420516,8.384541004,4.192270502,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.483911825,1.106450311
6397,1,0.030420516,8.242985581,4.121492791,0.474751742,0.07,3.405078894,0.57570615,0.2,0,3.408033298,1.075096036
6398,1,0.030420516,7.566565683,3.783282841,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.045449196,1.032105125
6399,1,0.030420516,7.087248271,3.543624136,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.78851874,1.096753112
6400,1,0.030420516,6.827431356,3.413715678,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.649248026,1.028872725
6401,1,0.030420516,7.454706941,3.72735347,0.474751742,0.07,2.222197761,0.57570615,0.2,0,2.84470727,1.048590362
6402,1,0.030420516,8.003052341,4.001526171,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.392665495,0.994286052
6403,0.932043871,0.025890108,9.976288888,4.988144444,0.372817549,0.07,2.497698431,0.425493664,0.2,0,3.648378755,0.966810657
6404,0.932043871,0.025890108,9.837421227,4.918710614,0.372817549,0.07,1.984611679,0.425493664,0.2,0,3.309550136,0.572134692
6405,0.932043871,0.025890108,8.615887805,4.307943903,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.077112116,0.576983291
6406,0.932043871,0.025890108,7.890192285,3.945096142,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.688114603,0.494233866
6407,0.932043871,0.025890108,5.569233229,2.784616615,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.007128834,0.537224778
6408,0.932043871,0.025890108,4.100688393,2.050344197,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.360720621,0.488092308
6409,0.932043871,0.025890108,3.476231878,1.738115939,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.025990662,0.496173306
6410,0.932043871,0.025890108,3.30063148,1.65031574,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.931862869,0.501021905
6411,0.932043871,0.025890108,3.258523221,1.629261611,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.909291408,0.531729699
6412,0.932043871,0.025890108,3.292568196,1.646284098,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.927540674,0.815857606
6413,0.932043871,0.025890108,3.599868892,1.799934446,0.474751742,0.07,1.590317968,0.425493664,0.2,0,1.092264312,1.394133856
6414,1,0.030420516,5.616953712,2.808476856,0.474751742,0.07,2.37890539,0.57570615,0.2,0,1.866417388,1.282616077
6415,1,0.030420516,8.197556256,4.098778128,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.573336325,1.083500275
6416,1,0.030420516,9.26319953,4.631599765,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.722211916,1.177886337
6417,1,0.030420516,8.420640435,4.210320217,0.474751742,0.07,3.286285853,0.57570615,0.2,0,2.957307864,1.387669057
6418,1,0.030420516,7.755604886,3.877802443,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.146780647,1.077681956
6419,1,0.030420516,7.798609065,3.899304533,0.474751742,0.07,1.82790405,0.57570615,0.2,0,3.169832352,1.227018808
6420,1,0.030420516,8.384541004,4.192270502,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.483911825,1.059903759
6421,1,0.030420516,8.242985581,4.121492791,0.474751742,0.07,3.405078894,0.57570615,0.2,0,3.408033298,1.166896179
6422,1,0.030420516,7.566565683,3.783282841,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.045449196,1.16237082
