;LadeLeistungAuﬂenstehende;LadeLeistungExterneStationen;buildingDemandHourly;carDemandHourly;eMobilityCharge;eMobilityDischarge;fahrverbrauchLokal;fahrverbrauchNetz;gridChargingHourly;pvChargingHourly;resLastAfterEMobility;resLastAfterZureisende;resLastBeforeEMobility
3508;0,0;0;0,0;5,8535792779218765;0,0;0,0;0,0;5,8535792779218765;1005,0;0,0;154,17158989;154,17158989;154,17158989
3509;0,0;0;0,0;24,181440506650866;0,0;0,0;0,0;24,181440506650866;990,0;0,0;152,70878633499999;152,70878633499999;152,70878633499999
3510;0,0;0;0,0;56,0651222135142;0,0;0,0;0,0;56,0651222135142;885,0;0,0;183,15479938000001;183,15479938000001;183,15479938000001
3511;0,0;0;0,0;137,1332276429376;0,0;0,0;0,0;137,1332276429376;555,0;0,0;207,27557941700002;207,27557941700002;207,27557941700002
3512;0,0;0;0,0;124,14812549723375;0,0;0,0;0,0;124,14812549723375;270,0;0,0;200,916235305;200,916235305;200,916235305
3513;0,0;0;0,0;89,58208438972575;0,0;0,0;0,0;89,58208438972575;90,0;0,0;184,06696544200003;184,06696544200003;184,06696544200003
3514;0,0;0;0,0;13,608317949495992;0,0;0,0;0,0;13,608317949495992;120,0;0,0;181,405576179;181,405576179;181,405576179
3515;0,0;0;0,0;23,909788405982628;0,0;0,0;0,0;23,909788405982628;120,0;0,0;166,41079298500003;166,41079298500003;166,41079298500003
3516;0,0;0;0,0;41,5867808129298;0,0;0,0;0,0;41,5867808129298;120,0;0,0;142,37689231999997;142,37689231999997;142,37689231999997
3517;0,0;0;0,0;38,95922485609558;0,0;0,0;0,0;38,95922485609558;165,0;0,0;59,120034687000015;59,120034687000015;59,120034687000015
3518;0,0;0;0,0;46,5960297371223;0,0;0,0;0,0;46,5960297371223;195,0;0,0;24,501719554000033;24,501719554000033;24,501719554000033
3519;0,0;0;0,0;49,223727764844085;0,0;0,0;0,0;49,223727764844085;270,0;0,0;28,079145051000012;28,079145051000012;28,079145051000012
3520;0,0;0;0,0;43,05379316857445;0,0;0,0;0,0;43,05379316857445;405,0;0,0;117,81786075999997;117,81786075999997;117,81786075999997
3521;0,0;0;0,0;25,503947473394923;0,0;0,0;0,0;25,503947473394923;540,0;0,0;192,63546311599998;192,63546311599998;192,63546311599998
3522;0,0;0;0,0;42,48858816571564;0,0;0,0;0,0;42,48858816571564;735,0;0,0;234,27913921;234,27913921;234,27913921
3523;0,0;0;0,0;27,71491708329659;0,0;0,0;0,0;27,71491708329659;900,0;0,0;256,772384143;256,772384143;256,772384143
3524;0,0;0;0,0;27,81496632022498;0,0;0,0;0,0;27,81496632022498;1035,0;0,0;250,96674679;250,96674679;250,96674679
3525;0,0;0;0,0;24,248145047437557;0,0;0,0;0,0;24,248145047437557;1170,0;0,0;238,62471912;238,62471912;238,62471912
3526;0,0;0;0,0;20,828239640478813;0,0;0,0;0,0;20,828239640478813;1170,0;0,0;196,80260274;196,80260274;196,80260274
3527;0,0;0;0,0;6,116805374845011;0,0;0,0;0,0;6,116805374845011;1200,0;0,0;158,02010996500002;158,02010996500002;158,02010996500002
3528;0,0;0;0,0;49,375685011669496;0,0;0,0;0,0;49,375685011669496;1110,0;0,0;137,206772425;137,206772425;137,206772425
3529;0,0;0;0,0;14,29424696521523;0,0;0,0;0,0;14,29424696521523;1080,0;0,0;129,51648137;129,51648137;129,51648137
3530;0,0;0;0,0;3,2086152966845507;0,0;0,0;0,0;3,2086152966845507;1065,0;0,0;127,93865799499999;127,93865799499999;127,93865799499999
3531;0,0;0;0,0;12,936269784545079;0,0;0,0;0,0;12,936269784545079;1050,0;0,0;140,671318795;140,671318795;140,671318795
3532;0,0;0;0,0;12,444110188757232;0,0;0,0;0,0;12,444110188757232;1050,0;0,0;147,755111106;147,755111106;147,755111106
3533;0,0;0;0,0;9,322731438075294;0,0;0,0;0,0;9,322731438075294;1020,0;0,0;102,66511818500001;102,66511818500001;102,66511818500001
3534;0,0;0;0,0;55,66125564632431;0,0;0,0;0,0;55,66125564632431;915,0;0,0;24,56855392;24,56855392;24,56855392
3535;12,425751625397762;0;0,0;84,33718782855341;25,204546864602268;0,0;3,2207281864447546;81,11645964210865;634,7954531353978;25,204546864602268;-12,425751625397762;0,0;-37,63029849000003
